study_accession	experiment_accession	run_accession	fastq_md5	fastq_ftp
PRJNA304086	SRX1452060	SRR2960338	e854e5445d32bfc64464c03584500f5b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/008/SRR2960338/SRR2960338.fastq.gz
PRJNA304086	SRX1452063	SRR2960341	d60f71f8b001c85de09a73170d0b3335	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/001/SRR2960341/SRR2960341.fastq.gz
PRJNA304086	SRX1452064	SRR2960343	057bcfd55bdcccab35ba834b08ee84b9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/003/SRR2960343/SRR2960343.fastq.gz
PRJNA304086	SRX1452071	SRR2960356	9107eb12bd547a0c06a4129427266cf2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/006/SRR2960356/SRR2960356.fastq.gz
PRJNA304086	SRX1452072	SRR2960357	db5c44d73023adba175b3b36d628299c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/007/SRR2960357/SRR2960357.fastq.gz
PRJNA304086	SRX1452073	SRR2960358	97222fb332bf28f0cfe038e241d51508	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/008/SRR2960358/SRR2960358.fastq.gz
PRJNA304086	SRX1452825	SRR2961630	2c7d97815a5b4a03005ff5fd35c71e46	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/000/SRR2961630/SRR2961630.fastq.gz
PRJNA304086	SRX1452828	SRR2961631	b6ff7062e7057f99ecd94645d6715f3b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/001/SRR2961631/SRR2961631.fastq.gz
PRJNA304086	SRX1452829	SRR2961633	4d7b9451064114c5d7ca0b3a59056b97	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/003/SRR2961633/SRR2961633.fastq.gz
PRJNA304086	SRX1452861	SRR2961666	22d6fdb7253ee11413a99f22212c8807	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/006/SRR2961666/SRR2961666.fastq.gz
PRJNA304086	SRX1452862	SRR2961667	b204cdd9cbd8aaf4ae627389b22f31d4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/007/SRR2961667/SRR2961667.fastq.gz
PRJNA304086	SRX1452863	SRR2961668	2e243a53705aeebdfdf1c6cc9d6111ea	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/008/SRR2961668/SRR2961668.fastq.gz
PRJNA304086	SRX1453625	SRR2962703	f9b516e5bdb9f4170f87bfcedaba94b1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/003/SRR2962703/SRR2962703.fastq.gz
PRJNA304086	SRX1453626	SRR2962704	369f37a4e923250d4aa4d858f0447627	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/004/SRR2962704/SRR2962704.fastq.gz
PRJNA304086	SRX1453627	SRR2962705	025153cd56b3f454098a977334a25aed	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/005/SRR2962705/SRR2962705.fastq.gz
PRJNA304086	SRX1456515	SRR2967072	1a4b75baeb33bf239233b1d17e4de01a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/002/SRR2967072/SRR2967072.fastq.gz
PRJNA304086	SRX1456516	SRR2967073	e38333c18b536bd1b113bb542e8755e2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/003/SRR2967073/SRR2967073.fastq.gz
PRJNA304086	SRX1456517	SRR2967074	dc7d01a5a2565d5605c557558eede9cb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/004/SRR2967074/SRR2967074.fastq.gz
PRJNA304086	SRX1459990	SRR2970594	929c9ebfca1e391fe3ae1a581d80daa1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/004/SRR2970594/SRR2970594.fastq.gz
PRJNA304086	SRX1459991	SRR2970597	338d0120e9058b6f569ea748e6416917	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/007/SRR2970597/SRR2970597.fastq.gz
PRJNA304086	SRX1459992	SRR2970598	21590eb0c98c5d62ea084fbabd301c61	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/008/SRR2970598/SRR2970598.fastq.gz
PRJNA304086	SRX1460213	SRR2970811	727105f42559583d80a134d7f176c3e2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/001/SRR2970811/SRR2970811.fastq.gz
PRJNA304086	SRX1460214	SRR2970812	f8ad982ed839353b24f0d87045f3cf48	ftp.sra.ebi.ac.uk/vol1/fastq/SRR297/002/SRR2970812/SRR2970812.fastq.gz
PRJNA304086	SRX1477552	SRR2989038	a1b9d8eb39797e3ed7852fe84d9d27a3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR298/008/SRR2989038/SRR2989038.fastq.gz
PRJNA304086	SRX1477554	SRR2989041	1402b158a43de2cd4766f719688b11aa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR298/001/SRR2989041/SRR2989041.fastq.gz
PRJNA304086	SRX1477556	SRR2989043	dd27a1818185454a5ad84bb7c193764f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR298/003/SRR2989043/SRR2989043.fastq.gz
PRJNA304086	SRX1529449	SRR3099585	87cf18f083c9954ec16070c306a4a3f0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/005/SRR3099585/SRR3099585.fastq.gz
PRJNA304086	SRX1529450	SRR3099586	3f20b8a3d7d37d85d1d6a1b1b8ffd97b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/006/SRR3099586/SRR3099586.fastq.gz
PRJNA304086	SRX1529451	SRR3099587	a2ad18cc00016e22f262e4071a03f874	ftp.sra.ebi.ac.uk/vol1/fastq/SRR309/007/SRR3099587/SRR3099587.fastq.gz
PRJNA304086	SRX1530331	SRR3101073	cc2673641d3822b6c7e86eb25402257c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/003/SRR3101073/SRR3101073.fastq.gz
PRJNA304086	SRX1530332	SRR3101074	df546ffc5ef06f8a179af98e8a74a71d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/004/SRR3101074/SRR3101074.fastq.gz
PRJNA304086	SRX1530333	SRR3101075	730ffe31b15b3ade59a0dbe22495a6ba	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/005/SRR3101075/SRR3101075.fastq.gz
PRJNA304086	SRX1531908	SRR3103205	ce098794833978225409da09bbad65ba	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/005/SRR3103205/SRR3103205.fastq.gz
PRJNA304086	SRX1531909	SRR3103206	c95444f015fec9be0e70060a3c014485	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/006/SRR3103206/SRR3103206.fastq.gz
PRJNA304086	SRX1531910	SRR3103207	b732b6f0834425dc7a57ad2660b57a9e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/007/SRR3103207/SRR3103207.fastq.gz
PRJNA304086	SRX1533779	SRR3105362	26cda8d7a82a3eb05e20a5476fc7431b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/002/SRR3105362/SRR3105362.fastq.gz
PRJNA304086	SRX1533780	SRR3105363	298c560c0733e74945448b9a3f7f1395	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/003/SRR3105363/SRR3105363.fastq.gz
PRJNA304086	SRX1533782	SRR3105364	08cc2bc3466deee0b46eba61869b63f1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/004/SRR3105364/SRR3105364.fastq.gz
PRJNA304086	SRX1534049	SRR3105697	48bd094825243d03bd59e2801ccf9931	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/007/SRR3105697/SRR3105697.fastq.gz
PRJNA304086	SRX1534051	SRR3105698	0102f812c71517b8e550702f320ac607	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/008/SRR3105698/SRR3105698.fastq.gz
PRJNA304086	SRX1534052	SRR3105699	e7a74957778b75ac332b67a87da495ea	ftp.sra.ebi.ac.uk/vol1/fastq/SRR310/009/SRR3105699/SRR3105699.fastq.gz
PRJNA304086	SRX1540739	SRR3112575	80de77bf3e636f44cb291abbd881ce7d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/005/SRR3112575/SRR3112575.fastq.gz
PRJNA304086	SRX1540740	SRR3112576	19055c215668a6c4fc1c57c4b598f064	ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/006/SRR3112576/SRR3112576.fastq.gz
PRJNA304086	SRX1540742	SRR3112577	91cd781fec3647499026d30ee8d2fdbf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/007/SRR3112577/SRR3112577.fastq.gz
PRJNA304086	SRX1540743	SRR3112578	7ff7bdf92b6ca204d98ed911179edce8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/008/SRR3112578/SRR3112578.fastq.gz
PRJNA304086	SRX1540744	SRR3112579	1cac0a93a87f66db4ba876d24d66b26c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/009/SRR3112579/SRR3112579.fastq.gz
PRJNA304086	SRX1540741	SRR3112580	dbc540c1b2af452740eec4d8816e409e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR311/000/SRR3112580/SRR3112580.fastq.gz
