SampleID	Iron	Ligth	Time	Condition	wget	md5
SRR2960338	STANDARD	LIGHT	3H	CondA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/008/SRR2960338/SRR2960338.fastq.gz	e854e5445d32bfc64464c03584500f5b
SRR2960341	STANDARD	LIGHT	3H	CondA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/001/SRR2960341/SRR2960341.fastq.gz	d60f71f8b001c85de09a73170d0b3335
SRR2960343	STANDARD	LIGHT	3H	CondA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/003/SRR2960343/SRR2960343.fastq.gz	057bcfd55bdcccab35ba834b08ee84b9
SRR2960356	STANDARD	DARK	3H	CondA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/006/SRR2960356/SRR2960356.fastq.gz	9107eb12bd547a0c06a4129427266cf2
SRR2960357	STANDARD	DARK	3H	CondA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/007/SRR2960357/SRR2960357.fastq.gz	db5c44d73023adba175b3b36d628299c
SRR2960358	STANDARD	DARK	3H	CondA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/008/SRR2960358/SRR2960358.fastq.gz	97222fb332bf28f0cfe038e241d51508
SRR2961630	DFOB	LIGHT	3H	CondA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/000/SRR2961630/SRR2961630.fastq.gz	2c7d97815a5b4a03005ff5fd35c71e46
SRR2961631	DFOB	LIGHT	3H	CondA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/001/SRR2961631/SRR2961631.fastq.gz	b6ff7062e7057f99ecd94645d6715f3b
SRR2961633	DFOB	LIGHT	3H	CondA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/003/SRR2961633/SRR2961633.fastq.gz	4d7b9451064114c5d7ca0b3a59056b97
SRR2961666	DFOB	DARK	3H	CondA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/006/SRR2961666/SRR2961666.fastq.gz	22d6fdb7253ee11413a99f22212c8807
SRR2961667	DFOB	DARK	3H	CondA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/007/SRR2961667/SRR2961667.fastq.gz	b204cdd9cbd8aaf4ae627389b22f31d4
SRR2961668	DFOB	DARK	3H	CondA	ftp.sra.ebi.ac.uk/vol1/fastq/SRR296/008/SRR2961668/SRR2961668.fastq.gz	2e243a53705aeebdfdf1c6cc9d6111ea
